,Station,Coordinates,
0,USW00023129,33.8117 -118.1464,
1,USW00093111,34.1167 -119.1167,
2,USW00093112,32.7000 -117.2000,
3,USW00093115,32.5667 -117.1167,
4,USW00093116,33.2500 -119.4500,
5,USW00003167,33.9228 -118.3342,
6,USW00023293,37.3592 -121.9239,
7,USW00023174,33.9381 -118.3889,
8,USW00023130,34.2097 -118.4892,
9,USW00093241,38.3775 -121.9575,
10,USW00093242,36.9878 -120.1106,
11,USW00093121,34.2542 -116.1042 ,
12,USW00003160,36.6206 -116.0278,
13,USW00023258,37.6242 -120.9506,
14,USW00023136,34.2167 -119.0833,
15,USW00023257,37.2847 -120.5128,
16,USW00023213,38.5039 -122.8103,
17,USW00023259,36.5881 -121.8453,
18,USW00003164,32.6233 -116.4728,
19,USW00023254,37.9917 -122.0550,
20,USW00003166,33.8719 -117.9789,
21,USW00023179,34.7675 -114.6189,
22,USW00093209,35.6697 -120.6283,
23,USW00093205,39.1019 -121.5678,
24,USW00093206,35.2372 -120.6414,
25,USW00003179,33.9753 -117.6361,
26,USW00023161,34.8536 -116.7858,
27,USW00003178,32.5722 -116.9794,
28,USW00023285,37.6928 -121.8144,
29,USW00024172,40.0681 -118.5692,
30,USW00003171,33.9519 -117.4386,
31,USW00023169,36.0719 -115.1633,
32,USW00024216,40.1519 -122.2536,
33,USW00003131,32.8158 -117.1394,
34,USW00003177,33.1281 -117.2794,
35,USW00024213,40.8097 -124.1603,
36,USW00024257,40.5175 -122.2986,
37,USW00023244,37.4058 -122.0481,
38,USW00093134,34.0511 -118.2353,
39,USW00053119,36.3189 -119.6289,
40,USW00093138,33.8281 -116.5053,
41,USW00003102,34.0561 -117.6003,
42,USW00024283,40.9781 -124.1086,
43,USW00003145,32.6500 -114.6167,
44,USW00003104,33.6267 -116.1594,
45,USW00024121,40.8289 -115.7886,
46,USW00053123,36.2117 -115.1958,
47,USW00023230,37.7214 -122.2208,
48,USW00023153,38.0511 -117.0903,
49,USW00023152,34.2006 -118.3575,
50,USW00023273,34.8994 -120.4486,
51,USW00023191,33.4050 -118.4158,
52,USW00053121,33.2194 -117.3494,
53,USW00093184,33.6800 -117.8664,
54,USW00053120,33.0375 -116.9158,
55,USW00023190,34.4258 -119.8425,
56,USW00023158,33.6186 -114.7142,
57,USW00023237,37.8892 -121.2258,
58,USW00024128,40.9017 -117.8081,
59,USW00023155,35.4344 -119.0542,
60,USW00023199,32.8167 -115.6833,
61,USW00023232,38.5069 -121.4950,
62,USW00023154,39.2953 -114.8467,
63,USW00023110,36.3333 -119.9500,
64,USW00023275,39.1258 -123.2008,
65,USW00023157,37.3711 -118.3581,
66,USW00003144,32.8342 -115.5786,
67,USW00023234,37.6197 -122.3647,
68,USW00023233,36.6636 -121.6081,
69,USW00023277,36.9358 -121.7886,
70,USW00093102,39.4167 -118.7167,
71,USW00093104,35.6875 -117.6931,
72,USW00093227,38.2103 -122.2847,
73,USW00093228,37.6542 -122.1150,
74,USW00093107,32.8667 -117.1333,
75,USW00093193,36.7800 -119.7194,
76,USW00003159,34.7411 -118.2117,
77,USW00023185,39.4839 -119.7711,
78,USW00023182,34.6294 -118.0836,
79,USW00093197,34.0158 -118.4514,
80,USW00093230,38.8983 -119.9947,
81,USW00093110,34.2008 -119.2069,
82,USW00023225,39.2775 -120.7103,
83,USW00023188,32.7336 -117.1831,
84,USW00023187,34.7436 -118.7242,
85,USW00003154,33.3000 -117.3500,
